Title,Company,Location,Skills
Développeur R&D - Tunis,NeoXam Tunisie,"Gouvernorat Tunis, Tunisie (Hybride) ","Microsoft SQL Server, SQL, Produits Sybase, XML, Unix, Linux, Java Message Service (JMS), Oracle Database, Fortran et Pascal"
PG SQA Serial Engineer (M/F),Valeo,"Gouvernorat Ben Arous, Tunisie (Sur site) Republiée  il y a 3 jours","Cycle PDCA, HIS, Test d’applications mobiles, Assurance qualité logiciel, Tests d’API, Tests manuels, Calcul différentiel et intégral, API Postman, Test de sites web et Cas de test"
Senior Unity Mobile Developer,Anywr,"Gouvernorat Tunis, Tunisie (Sur site) Republiée  il y a 3 semaines","Git, Multithreading, Oracle Database, Anglais, Representational State Transfer (REST), Développement d’applications mobiles, Développement Android, Unity, Android et Science informatique"
Développeur Drupal SENIOR/EXPERT (Rémunération attractive-Distanciel Possible),STRATIS WorldWide,Sfax Metropolitan Area (Sur site)  il y a 2 mois,"Drupal, Gouvernance du cloud, SQL, PHP, Systèmes de gestion de contenu (CMS), MySQL, Expérience utilisateur (UX), Gated Recurrent Units (GRU), Produits Docker et Doctrine"
Full Stack Developer,Azurreo,Tunisie (À distance)  il y a 3 jours,"Langages web, Tailwind CSS, Feuilles de style en cascade (CSS), Sens de l’organisation, Résolution de problèmes, Développement full-stack, Développement d’applications, JIRA, Sens de l’écoute et Pile informatique"
Développeur Drupal,Devoteam Tunisie,"Tunis, Gouvernorat Tunis, Tunisie (Hybride) Republiée  il y a 1 semaine","Résolution de difficultés, Drupal, Langages web, Développement web, Bases de données, JavaScript, Développement de logiciels, HTML, Résolution de problèmes et PHP"
Senior Developer Odoo (Tunisia based),Scalable Global Solutions JSC,Tunisie (À distance) Republiée  il y a 1 mois,"Odoo, JavaScript, Anglais, Feuilles de style en cascade (CSS), Python (langage de programmation), PostgreSQL, Structure des données, Gestion de la relation client (CRM), SQL et HTML"
Data Engineer,Sambac Lab,"Tunis, Gouvernorat Tunis, Tunisie (Hybride)  il y a 1 mois","Service Azure Kubernetes (AKS), Graphiques Helm, Ingénierie des données, Apache Spark Streaming, Apache Spark et Rust"
Développeurs C# WPF,Agoragroup,"Tunis, Gouvernorat Tunis, Tunisie (Hybride)  il y a 2 mois",".NET Core, ERP Infor, WPF, C#, .NET framework, DevOps, API REST, Développement de logiciels, SQL et Interfaces"
Mid Backend Engineer- Kaspr,Cognism,"Tunis, Gouvernorat Tunis, Tunisie (Sur site) Republiée  il y a 2 jours","Microservices, API REST, HubSpot, Node.js, JavaScript, Apache Kafka, Développement web back-end, Sens de l’organisation, RabbitMQ et Anglais"
Back-End Engineer - Infrastructure,Deel,"Europe, Moyen-Orient et Afrique (À distance)  il y a 2 semaines","Développement web back-end, Apache Kafka, Résolution de problèmes, Communication, Node.js, Conception de systèmes, PostgreSQL, Kubernetes, JavaScript et Produits Docker"
Développeur Junior,Linedata,"Tunis, Gouvernorat Tunis, Tunisie (Sur site) Republiée  il y a 1 semaine","Résolution de difficultés, Bases de données, Résolution de problèmes, Manipulation de données, Bases de données relationnelles, Version Management, Compétences interpersonnelles, Communication, Développement informatique et Anglais"
Ingénieurs DevOps ( Lyon ),Hillstone,"Tunis, Gouvernorat Tunis, Tunisie (Hybride)  il y a 3 semaines","Jenkins, Ansible, Logstash, MongoDB, Git, Terraform, PostgreSQL, Sonarqube, Produits Docker et Elasticsearch"
Data Engineer,OoLab Tunisia,"Gouvernorat Tunis, Tunisie (Hybride) Republiée  il y a 1 mois","SQL, Unix, Java, Lac de données et Linux"
Glover Specialist (They/She/He),Glovo,"Gouvernorat Tunis, Tunisie (Hybride) Republiée  il y a 1 semaine","Administration générale, Interprétation de données, Gestion des flottes, Indicateurs clés de performance, Communication, Activités quotidiennes de l’entreprise, Approvisionnement, Résolution de problèmes, Compétences analytiques et Négociation"
Developpeurs Back End,Capgemini Engineering,"Gouvernorat Tunis, Tunisie (Sur site)  il y a 2 semaines","NUnit, Test unitaire, Kubernetes, GitHub, Produits Docker, Python (langage de programmation), Git, Angular, xUnit et Amazon Simple Queue Service (SQS)"
